"FIRE_NUM,C,25","FIRE_YEAR,N,4,0","RSPNCE_TYP,C,200","IGNITN_DT,D","FIREOUT_DT,D","STATUS,C,30","FIRE_CAUSE,C,10","FIRE_CENTR,N,10,0","ZONE,N,10,0","FIRE_ID,N,10,0","GEOGRAPHIC,C,254","LATITUDE,N,11,4","LONGITUDE,N,11,4","CURRENT_SZ,N,9,3","FIRE_LINK,C,254"
K52042,2023,,07/21/2023,,Under Control,Unknown,5,5,2042,Law Creek,49.7917,-119.7292,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K52042
V11256,2023,Modified,07/07/2023,,Out of Control,Lightning,2,1,1256,Yola Creek - MODIFIED RESPONSE,49.2088,-121.3917,150,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V11256
G11191,2023,Monitor,07/07/2023,,Being Held,Lightning,4,1,1191,Hungary Creek,53.8862,-121.4952,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G11191
R51704,2023,,07/14/2023,,Being Held,Lightning,3,5,1704,North of Eagle Bay Park,53.8479,-128.6738,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R51704
C20984,2023,Full,06/28/2023,06/29/2023,Out,Lightning,7,2,984,NW of Poison Lake,51.802,-122.5844,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C20984
V31604,2023,Full,07/11/2023,07/12/2023,Out,Lightning,2,3,1604,Spruce Creek,50.4935,-122.4918,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V31604
G70645,2023,Full,06/06/2023,,Being Held,Lightning,4,7,645,West Kiskatinaw River,55.1541,-120.6697,25095,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G70645
R41394,2023,Full,07/09/2023,,Being Held,Lightning,3,4,1394,BurdictkCreek,55.1882,-127.8211,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R41394
C50094,2023,,04/26/2023,05/01/2023,Out,Person,7,5,94,5km W of Puntzi Airport,52.1005,-124.2352,4.79,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C50094
G30078,2023,Full,04/22/2023,04/22/2023,Out,Person,4,3,78,Loos,53.6041,-120.7083,0.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G30078
R21225,2023,,07/07/2023,,Out of Control,Lightning,3,2,1225,4 Miles S of Nadina Mnt,54.0392,-126.8265,86,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R21225
R11378,2023,,07/09/2023,,Out of Control,Lightning,3,1,1378,1.5 km NE of Taltapin Lake,54.3421,-125.293,1400,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R11378
G91356,2023,Modified,07/08/2023,,Out of Control,Lightning,4,9,1356,Sahdoanah Creek N of Yeka Lake,59.593,-121.102,836,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G91356
K21042,2023,Full,07/01/2023,07/05/2023,Out,Person,5,2,1042,Scuitto Lake,50.5491,-120.1279,0.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K21042
G41966,2023,Full,07/20/2023,07/22/2023,Out,Lightning,4,4,1966,Big Ben Creek,53.5185,-124.5578,4.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41966
G12007,2023,Full,07/21/2023,,Out of Control,Lightning,4,1,2007,Steele Lake,54.2327,-123.3681,13.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G12007
R41971,2023,,07/20/2023,,Out of Control,Lightning,3,4,1971,1.7km SE of Kitsuns Creek,54.8903,-127.7427,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R41971
R21286,2023,,07/08/2023,,Being Held,Unknown,3,2,1286,White Sale,53.6527,-126.8243,0,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R21286
G12148,2023,,07/22/2023,,Out of Control,Lightning,4,1,2148,Dome Creek,53.7116,-120.9898,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G12148
G70820,2023,Full,06/18/2023,06/18/2023,Out,Person,4,7,820,Saskatoon Creek,55.84,-120.3217,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G70820
C11319,2023,,07/08/2023,,Out of Control,Lightning,7,1,1319,4.6km NW Coglistiko River,52.971,-124.6291,339,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C11319
G91719,2023,Monitor,07/14/2023,,Out of Control,Lightning,4,9,1719,Kotcho Creek,58.8107,-121.0029,20,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G91719
R22051,2023,,07/21/2023,,Under Control,Lightning,3,2,2051,Dockrill Creek,54.4695,-126.8728,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R22051
R31581,2023,,07/11/2023,,Out of Control,Unknown,3,3,1581,S side of Mount Horetzey,55.5963,-126.784,208,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R31581
