"FIRE_NUM,C,25","FIRE_YEAR,N,4,0","RSPNCE_TYP,C,200","IGNITN_DT,D","FIREOUT_DT,D","STATUS,C,30","FIRE_CAUSE,C,10","FIRE_CENTR,N,10,0","ZONE,N,10,0","FIRE_ID,N,10,0","GEOGRAPHIC,C,254","LATITUDE,N,11,4","LONGITUDE,N,11,4","CURRENT_SZ,N,9,3","FIRE_LINK,C,254"
K60672,2023,Full,06/08/2023,06/08/2023,Out,Person,5,6,672,Cultus Creek,50.2785,-120.4045,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K60672
K41395,2023,,07/09/2023,07/11/2023,Out,Unknown,5,4,1395,Ellison Park,50.1756,-119.4425,0.6,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K41395
G30404,2023,Full,05/19/2023,05/19/2023,Out,Person,4,3,404,confluence of Morkill and Fraser Rivers,53.6024,-120.7024,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G30404
N70284,2023,Full,05/12/2023,05/13/2023,Out,Person,6,7,284,Weasel Creek,49.6629,-116.8012,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N70284
K20627,2023,Full,06/05/2023,06/08/2023,Out,Person,5,2,627,Russeau Creek,50.7758,-120.7142,1.6,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K20627
V10417,2023,Full,05/19/2023,05/20/2023,Out,Person,2,1,417,2km E of Big Silver Creek,49.5713,-121.8112,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V10417
V70546,2023,Full,05/31/2023,05/31/2023,Out,Person,2,7,546,Keeha Bay,48.7871,-125.1736,0.04,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V70546
V30015,2023,Full,04/05/2023,04/06/2023,Out,Person,2,3,15,5 km North of Squamish,49.8873,-123.1801,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V30015
V70463,2023,Full,05/21/2023,05/21/2023,Out,Person,2,7,463,7 Km 142 main,49.2231,-124.2035,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V70463
K40421,2023,Full,05/18/2023,05/27/2023,Out,Person,5,4,421,Ratchford FSR,51.3588,-118.8692,7.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K40421
G90833,2023,Full,06/21/2023,06/21/2023,Out,Person,4,9,833,Clarke Lake Road,58.7385,-122.6054,0.491,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G90833
R40943,2023,Full,06/27/2023,06/27/2023,Out,Person,3,4,943,Skeena River,55.143,-127.776,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R40943
R30982,2023,Monitor,06/28/2023,07/05/2023,Out,Person,3,3,982,Morden Rd,54.6526,-126.8399,0.4,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R30982
N51083,2023,Full,07/02/2023,07/05/2023,Out,Person,6,5,1083,Macleod Creek,50.2732,-117.8207,0.04,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N51083
N50311,2023,Full,05/14/2023,05/14/2023,Out,Person,6,5,311,Ackerman Creek,50.0393,-117.9004,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N50311
R31579,2023,Full,07/10/2023,07/11/2023,Out,Lightning,3,3,1579,2.7km NE Tyhee Lake,54.7339,-126.9987,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R31579
K40420,2023,Full,05/18/2023,05/28/2023,Out,Lightning,5,4,420,Perry River,51.3078,-118.688,2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K40420
R30777,2023,Full,06/13/2023,06/15/2023,Out,Person,3,3,777,5km W of Babine Lake,55.1147,-126.5745,2.8,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R30777
V90779,2023,,06/14/2023,06/30/2023,Out,Person,2,9,779,S of Nimpkish Lake,50.2894,-126.9266,7.9,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V90779
V70429,2023,Full,05/19/2023,05/20/2023,Out,Person,2,7,429,N of Link Island,49.1218,-123.7686,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V70429
G60908,2023,Full,06/23/2023,07/12/2023,Out,Lightning,4,6,908,Thuthade Road,55.81,-125.1747,3.6,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G60908
G11005,2023,Full,06/29/2023,06/30/2023,Out,Lightning,4,1,1005,Gaborau Creek,53.5804,-122.3054,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G11005
K40937,2023,,06/27/2023,06/27/2023,Out,Person,5,4,937,Oyama Lake,50.1166,-119.2738,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K40937
N51487,2023,Full,07/09/2023,07/11/2023,Out,Lightning,6,5,1487,Gander Creek,49.4673,-117.6378,0.06,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N51487
V81273,2023,,07/07/2023,07/18/2023,Out,Unknown,2,8,1273,Garrett Lake,50.0704,-125.6329,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V81273
K62022,2023,Full,07/21/2023,,Under Control,Lightning,5,6,2022,Willis Creek,49.2933,-120.4146,0.4,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K62022
G41606,2023,Full,07/12/2023,,Out of Control,Lightning,4,4,1606,3nm SW Lavoie Lake,53.4468,-124.4097,5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41606
K21610,2023,,07/12/2023,07/15/2023,Out,Lightning,5,2,1610,Lower Cold Creek,50.7939,-120.1771,0.87,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K21610
C21506,2023,,07/10/2023,07/12/2023,Out,Lightning,7,2,1506,1.1km N of Place Lake Road,51.8712,-122.114,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C21506
R21439,2023,,07/09/2023,07/14/2023,Out,Lightning,3,2,1439,Chisholm FSR,54.2646,-126.9276,0.94,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R21439
C31917,2023,,07/19/2023,,Out of Control,Lightning,7,3,1917,2.4km E of Elbow Lake,52.2471,-120.7768,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C31917
R10108,2023,Full,04/28/2023,05/01/2023,Out,Person,3,1,108,Laurel Rd,54.227,-125.6543,1.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R10108
N51911,2023,,07/19/2023,,Under Control,Lightning,6,5,1911,Cusson Creek,50.2864,-118.1744,0.17,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N51911
R41961,2023,,07/20/2023,07/22/2023,Out,Lightning,3,4,1961,Ten Lake Creek,55.2925,-128.0481,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R41961
K40216,2023,,05/05/2023,05/23/2023,Out,Person,5,4,216,Mount Griffin,50.8402,-118.5371,11,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K40216
C50144,2023,,04/30/2023,05/01/2023,Out,Person,7,5,144,N of Dean River,52.4654,-125.2659,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C50144
G50915,2023,Full,06/25/2023,07/19/2023,Out,Lightning,4,5,915,Driftwood River,55.7091,-126.337,1.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G50915
V31141,2023,Full,07/04/2023,,Under Control,Person,2,3,1141,NE of Mamquam River,49.6938,-122.9149,21,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V31141
R10091,2023,,04/26/2023,04/26/2023,Out,Person,3,1,91,Baldhill Rd and Hwy 35,54.1475,-125.728,0.6,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R10091
C51363,2023,,07/08/2023,07/09/2023,Out,Lightning,7,5,1363,4km N of Young Creek,52.6009,-125.7025,0.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C51363
K71535,2023,,07/11/2023,,Fire of Note,Lightning,5,7,1535,Casper Creek,50.6806,-122.3862,1200,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K71535
K52100,2023,,07/22/2023,07/22/2023,Out,Lightning,5,5,2100,Chute Lake,49.6678,-119.5607,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K52100
R31367,2023,,07/08/2023,07/17/2023,Out,Lightning,3,3,1367,Kitseguecla Lake,54.9636,-127.4058,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R31367
N72106,2023,,07/22/2023,,Out of Control,Lightning,6,7,2106,Laughten Creek East,50.5908,-117.3826,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N72106
G61999,2023,Full,07/21/2023,07/22/2023,Out,Lightning,4,6,1999,W of Lions Lake,55.2617,-123.1468,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G61999
N40925,2023,,06/24/2023,06/27/2023,Out,Lightning,6,4,925,Brewster Creek,51.6218,-118.4562,0.06,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N40925
N41931,2023,,07/20/2023,07/21/2023,Out,Unknown,6,4,1931,Albert Creek,51.0956,-117.8503,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N41931
V90929,2023,Full,06/26/2023,07/04/2023,Out,Person,2,9,929,Glenlion River,50.7112,-127.5224,3.43,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V90929
C20610,2023,Full,05/23/2023,06/06/2023,Out,Lightning,7,2,610,SE of Rosa Lake,51.9213,-121.9876,0.04,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C20610
V91301,2023,Modified,07/08/2023,,Being Held,Lightning,2,9,1301,Waump Creek,51.2576,-126.8576,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V91301
V80868,2023,,06/24/2023,06/24/2023,Out,Person,2,8,868,White River,50.2937,-125.936,0.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V80868
R11388,2023,,07/09/2023,,Out of Control,Lightning,3,1,1388,8.1 km S of Chief Louis Lake,53.4616,-126.101,2779,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R11388
R51656,2023,,07/12/2023,,Being Held,Lightning,3,5,1656,Kildala Arm,53.7701,-128.3378,20,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R51656
K60343,2023,Full,05/16/2023,05/16/2023,Out,Person,5,6,343,Oluk Creek,50.033,-120.8706,0.01,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K60343
C41898,2023,,07/19/2023,07/19/2023,Out,Person,7,4,1898,,51.8171,-121.2527,0.23,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C41898
V81105,2023,Full,07/03/2023,07/10/2023,Out,Person,2,8,1105,Hkusam Mountain,50.3401,-125.8891,1.96,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V81105
K20560,2023,Full,05/30/2023,06/01/2023,Out,Person,5,2,560,Inks Lake,50.6185,-120.45,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K20560
C31829,2023,Full,07/17/2023,07/18/2023,Out,Lightning,7,3,1829,Horse lake,52.4705,-121.4505,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C31829
G41588,2023,Monitor,07/12/2023,,Out of Control,Lightning,4,4,1588,Justine Lake,54.1859,-124.9333,10,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41588
G50916,2023,Full,06/25/2023,,Under Control,Unknown,4,5,916,Confluence of Tachie River and Stuart Lake,54.6563,-124.77,0,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G50916
K41514,2023,,07/10/2023,07/11/2023,Out,Lightning,5,4,1514,Snuffbox Creek #2,51.1267,-119.3266,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K41514
V80523,2023,,05/28/2023,05/28/2023,Out,Unknown,2,8,523,N of Tiupana River,49.7932,-126.3342,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V80523
G40506,2023,Full,05/27/2023,05/28/2023,Out,Person,4,4,506,South West Marten Lake,53.9981,-124.4108,0.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G40506
G50856,2023,Full,06/23/2023,,Out of Control,Lightning,4,5,856,2KM E of Driftwood Creek,55.8798,-126.4014,4613.14,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G50856
C20082,2023,,04/23/2023,04/24/2023,Out,Person,7,2,82,E of 2000 Road,51.9253,-122.5221,10,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C20082
R31584,2023,,07/11/2023,,Being Held,Lightning,3,3,1584,9km SW of Ft Babine,55.2668,-126.7306,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R31584
G92093,2023,,07/22/2023,,Out of Control,Lightning,4,9,2093,2km E of Snake River,59.1533,-122.5656,0.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G92093
G11887,2023,Full,07/19/2023,07/20/2023,Out,Lightning,4,1,1887,Mount Chingee,54.9917,-122.9021,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G11887
G71764,2023,Full,07/16/2023,07/20/2023,Out,Lightning,4,7,1764,Eleven Mile Creek,55.9044,-122.8042,0.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G71764
G91494,2023,Monitor,07/10/2023,,Out of Control,Lightning,4,9,1494,Petitot River,59.8051,-121.7854,381,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G91494
N11770,2023,,07/16/2023,07/18/2023,Out,Lightning,6,1,1770,Linklater Road,49.2256,-115.3116,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N11770
G60955,2023,Full,06/27/2023,,Under Control,Lightning,4,6,955,N of Pothole Lakes,55.5705,-123.3716,9.6,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G60955
G80867,2023,Full,06/24/2023,,Being Held,Lightning,4,8,867,Osborn River,56.7086,-120.041,70,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G80867
N11670,2023,Full,07/13/2023,07/18/2023,Out,Lightning,6,1,1670,Cherry Creek,49.6665,-115.7542,0.6,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N11670
V31429,2023,,07/09/2023,07/10/2023,Out,Lightning,2,3,1429,West Flank of North Creek,50.6092,-123.2417,0.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V31429
R91162,2023,,07/06/2023,,Out of Control,Lightning,3,9,1162,Little Blue River,59.6421,-129.5938,35318,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R91162
N51448,2023,,07/09/2023,07/11/2023,Out,Lightning,6,5,1448,Beaver Mountain,49.1093,-117.4386,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N51448
K41913,2023,,07/19/2023,07/19/2023,Out,Unknown,5,4,1913,Cooke Creek FSR,50.6641,-118.862,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K41913
G70124,2023,Full,04/28/2023,05/30/2023,Out,Person,4,7,124,NW of Highway 29 and Moberly Lake,55.8354,-121.8479,120,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G70124
VA1456,2023,,07/09/2023,,Out of Control,Lightning,2,10,1456,1.5 KM NE of Lonesome Lake,52.2844,-125.7294,1537,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=VA1456
G71701,2023,Full,07/14/2023,07/18/2023,Out,Lightning,4,7,1701,Hassler Creek,55.4915,-122.0113,0.3,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G71701
G51438,2023,Full,07/09/2023,07/10/2023,Out,Lightning,4,5,1438,Driftwood River,55.7093,-126.2823,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G51438
K41156,2023,,07/06/2023,07/19/2023,Out,Person,5,4,1156,Star Creek,50.4816,-118.4943,10,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K41156
C20835,2023,Full,06/21/2023,06/22/2023,Out,Lightning,7,2,835,S of Parker Lake,52.4044,-121.8532,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C20835
G11472,2023,Full,07/09/2023,,Out of Control,Lightning,4,1,1472,South of Greg Creek,53.5957,-123.2263,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G11472
C30440,2023,,05/20/2023,06/06/2023,Out,Lightning,7,3,440,1km S of Amos Creek,52.6309,-121.0397,16,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C30440
R11258,2023,,07/07/2023,07/09/2023,Out,Lightning,3,1,1258,Rose Lake,54.3905,-126.0291,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R11258
R50944,2023,Full,06/27/2023,07/04/2023,Out,Person,3,5,944,Copper Mountain,54.5323,-128.5056,0.03,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R50944
VA1271,2023,,07/07/2023,07/22/2023,Out,Lightning,2,10,1271,Kimsquit Bay,52.8381,-127.0322,0.01,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=VA1271
R32118,2023,,07/22/2023,07/22/2023,Out,Lightning,3,3,2118,1.5 km N of Burnbridge Creek,54.7317,-126.7838,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R32118
R51251,2023,,07/07/2023,,Being Held,Lightning,3,5,1251,Miskatla Inlet,53.8073,-128.95,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R51251
G11533,2023,Full,07/10/2023,,Being Held,Lightning,4,1,1533,S of McGregor River,54.1931,-121.6536,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G11533
R21998,2023,,07/21/2023,,Out of Control,Lightning,3,2,1998,0.7km NW of Collins Lake,54.1123,-127.198,4.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R21998
K62013,2023,,07/21/2023,,Being Held,Lightning,5,6,2013,Minnie Creek,50.0269,-120.4631,10.6,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K62013
G50872,2023,Full,06/24/2023,,Out of Control,Lightning,4,5,872,Klawli River,55.3014,-124.841,15798.48,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G50872
G11454,2023,Full,07/09/2023,,Under Control,Lightning,4,1,1454,3km N of Naltesby Lake,53.6255,-123.4729,14,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G11454
R41397,2023,Full,07/09/2023,07/19/2023,Out,Lightning,3,4,1397,1km N of Skeena River,55.1648,-127.7948,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R41397
K41841,2023,,07/17/2023,07/20/2023,Out,Lightning,5,4,1841,North Fork FSR,51.3491,-118.688,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K41841
K60042,2023,Full,04/15/2023,04/27/2023,Out,Person,5,6,42,Kwinshatin Creek,50.0385,-120.8574,17,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K60042
K71778,2023,,07/16/2023,,Out of Control,Lightning,5,7,1778,Blackhills,50.7831,-121.8895,27,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K71778
R21673,2023,,07/13/2023,,Out of Control,Lightning,3,2,1673,4.3km E of Little Andrews Bay,53.8076,-126.6908,1400,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R21673
N71835,2023,Modified,07/17/2023,,Out of Control,Lightning,6,7,1835,Hamill Creek,50.2359,-116.8421,215,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N71835
G41287,2023,Full,07/08/2023,,Under Control,Lightning,4,4,1287,Crystal Lake,53.7343,-124.5205,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41287
C11796,2023,,07/17/2023,07/18/2023,Out,Person,7,1,1796,1.4km SW of Pantage Lake,53.1872,-123.1217,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C11796
G11819,2023,Full,07/17/2023,07/19/2023,Out,Lightning,4,1,1819,3km South of Parsnip RIver,54.6299,-122.2227,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G11819
V31726,2023,Monitor,07/15/2023,,Out of Control,Lightning,2,3,1726,Boulder Creek,50.712,-123.3184,1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V31726
N22131,2023,,07/22/2023,,Out of Control,Unknown,6,2,2131,Cedared Creek,50.9461,-116.3797,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N22131
C51703,2023,,07/14/2023,07/15/2023,Out,Lightning,7,5,1703,9.2km SE of Punkutlaenkut,52.4643,-124.7001,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C51703
R41582,2023,,07/11/2023,,Under Control,Lightning,3,4,1582,2km W of Glen Vowell,55.3063,-127.7026,32,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R41582
R21622,2023,,07/12/2023,,Out of Control,Lightning,3,2,1622,9.1 km NW of Tochcha Lake,55.0673,-125.8777,20,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R21622
K20047,2023,Full,04/15/2023,04/19/2023,Out,Person,5,2,47,Kamloops Shuswap Road,50.7772,-119.7298,0.715,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K20047
K52044,2023,,07/21/2023,,Being Held,Lightning,5,5,2044,Horn Creek,49.2973,-119.7647,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K52044
C11489,2023,,07/09/2023,,Under Control,Lightning,7,1,1489,1.4km E of Towler Creek,52.7992,-122.0804,25,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C11489
K22003,2023,,07/21/2023,,Under Control,Lightning,5,2,2003,Scuitto Creek,50.5858,-120.2218,14,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K22003
R31393,2023,,07/09/2023,07/15/2023,Out,Lightning,3,3,1393,Seaton Mnt,55.0672,-127.2159,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R31393
C31442,2023,,07/09/2023,,Out of Control,Lightning,7,3,1442,3.3km E of North Arm Quesnel Lake,52.6915,-120.8283,43.71,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C31442
K71145,2023,,07/05/2023,07/20/2023,Out,Person,5,7,1145,Slim Creek,50.8937,-122.8502,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K71145
R11255,2023,,07/07/2023,07/09/2023,Out,Lightning,3,1,1255,Forest Dale Canyon,54.3973,-126.1389,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R11255
G41548,2023,Full,07/11/2023,,Under Control,Lightning,4,4,1548,Mt Greer,53.8042,-124.5474,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41548
C51571,2023,,07/11/2023,,Out of Control,Lightning,7,5,1571,NE of Anahim Peak,52.7728,-125.5802,3350,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C51571
K21595,2023,Monitor,07/12/2023,,Out of Control,Lightning,5,2,1595,Ovis Creek,52.4364,-119.9846,2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K21595
K21607,2023,Full,07/12/2023,,Under Control,Lightning,5,2,1607,Upper Cold Creek,50.811,-120.2019,71.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K21607
R51345,2023,,07/08/2023,07/20/2023,Out,Lightning,3,5,1345,Ksi Mat'in Creek,54.95,-129.2306,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R51345
G51284,2023,Full,07/08/2023,07/14/2023,Out,Lightning,4,5,1284,Thompson Lake,54.2649,-123.867,7,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G51284
G60666,2023,Full,06/07/2023,,Out of Control,Lightning,4,6,666,Omineca River,55.9468,-124.5446,50370,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G60666
R50775,2023,Full,06/13/2023,06/23/2023,Out,Lightning,3,5,775,Old Remo Road,54.472,-128.6785,0.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R50775
R11751,2023,Full,07/15/2023,07/16/2023,Out,Lightning,3,1,1751,North-East Side of Takysie Lake,53.8907,-125.8451,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R11751
C11877,2023,,07/18/2023,07/19/2023,Out,Lightning,7,1,1877,W of Crane Ave,52.9732,-122.5223,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C11877
G41967,2023,,07/20/2023,,Out of Control,Lightning,4,4,1967,Saddle Hump Mountain,53.2784,-125.0631,0.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41967
